DMA_Write(000003FC, 00000000)
DMA_Write(00000400, 00000000)
DMA_Write(00000404, 00000000)
DMA_Write(00000408, 00000000)
DMA_Write(0000040C, 00000000)
DMA_Write(00000410, 00000000)
DMA_Write(00000414, 00000000)
DMA_Write(00000418, 00000000)
DMA_Write(0000041C, 00000000)
DMA_Write(00000420, 00000000)
DMA_Write(00000424, 00000000)
DMA_Write(00000428, 00000000)
DMA_Write(0000042C, 00000000)
DMA_Write(00000430, 00000000)
DMA_Write(00000434, 00000000)
DMA_Write(00000438, 00000000)
DMA_Write(0000043C, 00000000)
DMA_Write(00000440, 00000000)
